id,kind,severity,reason,age_minutes,breaking_count,ticker_items,duration_ms,db_error,path,detail,created_at
4e30eeb9-3d7e-430f-801c-5a5de6b708d8,client_alert,critical,content_critical,28793,,8,,,/,"{""animated"": true}",2026-08-02 13:49:02.037114+00
b2530324-9113-428a-a33b-4738a7113d71,client_alert,critical,content_critical,28794,,8,,,/,"{""animated"": true}",2026-08-02 13:49:43.108791+00
6b963b5d-4fa4-402f-8a97-710aa769159a,client_alert,critical,content_critical,29002,,8,,,/,"{""animated"": true}",2026-08-02 13:49:44.451487+00
8bcfc705-ee41-4395-ab52-a449a67c07e2,client_alert,critical,content_critical,28794,,8,,,/,"{""animated"": true}",2026-08-02 13:49:44.484429+00
c6c2f21b-f522-4c2d-96ce-3ed7cd55a104,client_alert,critical,content_critical,29003,,8,,,/,"{""animated"": true}",2026-08-02 13:50:35.338655+00
c2a74682-60ae-4fdf-957b-02af5bed4463,client_alert,critical,content_critical,28794,,8,,,/,"{""animated"": true}",2026-08-02 13:50:36.197381+00
f7ef1765-5772-4bf5-b0a3-4ee15f49a422,client_alert,critical,content_critical,29004,,8,,,/,"{""animated"": true}",2026-08-02 13:51:13.402506+00
262bea77-ca0b-4da6-95fd-b4dbb95e23ea,client_alert,critical,content_critical,28797,,8,,,/,"{""animated"": true}",2026-08-02 13:53:26.795073+00
c61a6bba-61b8-40b5-974a-ea4efc525511,client_alert,critical,content_critical,29006,,8,,,/,"{""animated"": true}",2026-08-02 13:53:28.377992+00
163dfbe9-708d-4b4f-ad7f-cfb93ef1de5d,client_alert,critical,content_critical,28798,,8,,,/,"{""animated"": true}",2026-08-02 13:53:56.632417+00
af89a0d4-3c9c-4ee6-9c70-b2daaa5421db,client_alert,critical,content_critical,29006,,8,,,/,"{""animated"": true}",2026-08-02 13:53:56.662509+00
66e9d20c-c5ad-4641-b7e3-6196241338b6,client_alert,critical,content_critical,29007,,8,,,/,"{""animated"": true}",2026-08-02 13:54:35.113901+00
